iter	Passed	Remaining
0	177	177035
1	194	97253
2	213	70947
3	231	57662
4	250	49829
5	272	45070
6	290	41175
7	308	38246
8	327	36074
9	346	34284
10	366	32922
11	391	32228
12	412	31308
13	445	31344
14	464	30486
15	484	29797
16	506	29261
17	533	29111
18	592	30603
19	650	31885
20	683	31867
21	716	31844
22	751	31908
23	773	31456
24	798	31151
25	822	30797
26	845	30457
27	867	30112
28	899	30105
29	938	30336
30	963	30105
31	989	29924
32	1018	29835
33	1040	29574
34	1065	29387
35	1101	29499
36	1139	29644
37	1169	29601
38	1202	29629
39	1225	29421
40	1253	29310
41	1287	29378
42	1317	29327
43	1339	29094
44	1362	28921
45	1384	28722
46	1406	28528
47	1429	28348
48	1450	28147
49	1470	27938
50	1492	27767
51	1513	27598
52	1538	27496
53	1563	27384
54	1590	27324
55	1631	27507
56	1676	27734
57	1716	27882
58	1745	27846
59	1774	27795
60	1796	27655
61	1824	27600
62	1851	27540
63	1872	27384
64	1894	27252
65	1914	27090
66	1937	26978
67	1960	26867
68	1984	26774
69	2007	26664
70	2028	26540
71	2054	26479
72	2074	26339
73	2094	26207
74	2116	26101
75	2139	26011
76	2157	25863
77	2178	25748
78	2200	25654
79	2222	25563
80	2242	25447
81	2263	25339
82	2279	25186
83	2300	25082
84	2317	24945
85	2334	24810
86	2353	24700
87	2368	24548
88	2387	24435
89	2404	24314
90	2422	24199
91	2440	24086
92	2460	23999
93	2481	23916
94	2502	23840
95	2526	23795
96	2550	23744
97	2571	23670
98	2604	23700
99	2647	23824
100	2686	23911
101	2713	23890
102	2738	23849
103	2760	23785
104	2785	23747
105	2808	23684
106	2836	23674
107	2860	23627
108	2882	23564
109	2901	23477
110	2919	23384
111	2946	23365
112	2965	23278
113	2983	23190
114	3002	23107
115	3026	23060
116	3045	22985
117	3063	22896
118	3080	22808
119	3098	22720
120	3117	22647
121	3136	22569
122	3153	22485
123	3170	22396
124	3187	22313
125	3205	22236
126	3223	22160
127	3240	22076
128	3256	21986
129	3273	21910
130	3291	21834
131	3310	21768
132	3327	21693
133	3345	21622
134	3366	21567
135	3385	21506
136	3404	21445
137	3422	21375
138	3440	21313
139	3457	21240
140	3477	21183
141	3500	21153
142	3519	21089
143	3539	21040
144	3558	20983
145	3582	20956
146	3621	21013
147	3659	21065
148	3684	21042
149	3711	21034
150	3736	21006
151	3756	20958
152	3785	20956
153	3809	20926
154	3836	20914
155	3856	20866
156	3885	20861
157	3908	20827
158	3965	20977
159	4022	21117
160	4073	21226
161	4111	21267
162	4132	21220
163	4152	21165
164	4174	21124
